timestamp,datetime,value_min,value_avg,value_max,num_samples
1767236400,2026-01-01 00:00:00,29.419292,33.65192140000001,35.733717999999996,60
1767240000,2026-01-01 01:00:00,29.87008,34.49202871666668,37.446591,60
1767243600,2026-01-01 02:00:00,29.880930000000006,34.743172966666656,37.254542,60
1767247200,2026-01-01 03:00:00,32.121607999999995,33.74803493333334,36.003381,60
1767250800,2026-01-01 04:00:00,30.42984,32.72093225000001,36.242902,60
1767254400,2026-01-01 05:00:00,30.550531000000007,32.31558519999999,33.977146000000005,60
1767258000,2026-01-01 06:00:00,31.746374000000003,36.27249453333333,39.180593,60
1767261600,2026-01-01 07:00:00,31.467078,34.642251783333336,37.761839,60
1767265200,2026-01-01 08:00:00,31.275575000000003,34.932104599999995,37.499426,60
1767268800,2026-01-01 09:00:00,29.190918999999994,33.810882183333355,36.199228,60
1767272400,2026-01-01 10:00:00,32.952794,36.09094603333333,39.930093,60
1767276000,2026-01-01 11:00:00,30.452111000000002,34.98280253333333,36.685843,60
1767279600,2026-01-01 12:00:00,31.248288000000002,34.411820783333326,36.867216,60
1767283200,2026-01-01 13:00:00,31.829029000000006,34.15671475,36.251319,60
1767286800,2026-01-01 14:00:00,31.494587999999993,34.94253589999998,36.739622,60
1767290400,2026-01-01 15:00:00,32.152247,34.72169664999999,37.086576,60
1767294000,2026-01-01 16:00:00,32.640648999999996,34.42794571666666,36.296283,60
1767297600,2026-01-01 17:00:00,30.021980999999997,34.66684368333334,36.840401,60
1767301200,2026-01-01 18:00:00,34.224487999999994,37.44365464999999,41.091747,60
1767304800,2026-01-01 19:00:00,31.544617000000002,36.04632665,40.556542,60
1767308400,2026-01-01 20:00:00,30.797028999999995,34.885071016666664,37.478222,60
1767312000,2026-01-01 21:00:00,32.50424099999999,35.735776699999995,40.533377,60
1767315600,2026-01-01 22:00:00,34.196704999999994,40.79612294999999,47.781257,60
1767319200,2026-01-01 23:00:00,29.598579,33.46376271666667,38.462625,60
1767322800,2026-01-02 00:00:00,31.479641,34.64890265,37.78915,60
1767326400,2026-01-02 01:00:00,33.032246,36.46782541666666,38.96595,60
1767330000,2026-01-02 02:00:00,29.291351000000006,34.13879970000001,36.821159,60
1767333600,2026-01-02 03:00:00,28.793339000000003,33.26264638333334,35.349545000000006,60
1767337200,2026-01-02 04:00:00,31.618754999999993,34.294171049999996,37.325551,60
1767340800,2026-01-02 05:00:00,32.774772999999996,33.79010734999999,35.08062700000001,60
1767344400,2026-01-02 06:00:00,31.898846000000006,35.86549724999999,39.542568,60
1767348000,2026-01-02 07:00:00,32.737382,35.18461858333333,37.501983,60
1767351600,2026-01-02 08:00:00,31.068106999999998,36.026686433333346,41.114316,60
1767355200,2026-01-02 09:00:00,33.695268,37.18895126666667,39.618445,60
1767358800,2026-01-02 10:00:00,34.232359,38.72967421666668,41.996524,60
1767362400,2026-01-02 11:00:00,35.748441,39.79319079999999,43.810524,60
1767366000,2026-01-02 12:00:00,34.535888,38.8336657,41.550281,60
1767369600,2026-01-02 13:00:00,33.940028,38.06570329999999,40.717084,60
1767373200,2026-01-02 14:00:00,32.924092,37.20069889999999,39.825093,60
1767376800,2026-01-02 15:00:00,33.440501999999995,37.15254806666667,39.581227,60
1767380400,2026-01-02 16:00:00,35.114740999999995,37.10242079999998,39.869859,60
1767384000,2026-01-02 17:00:00,32.845113,37.09770875,39.064072,60
1767387600,2026-01-02 18:00:00,33.536613,39.133185116666674,42.135242,60
1767391200,2026-01-02 19:00:00,33.009304,37.087391666666676,39.725903,60
1767394800,2026-01-02 20:00:00,34.256915000000006,42.2649147,46.426313,60
1767398400,2026-01-02 21:00:00,32.042058,35.56662556666666,37.73053,60
1767402000,2026-01-02 22:00:00,33.570132,38.50546976666664,43.688169,60
1767405600,2026-01-02 23:00:00,30.997395999999995,36.77026634999999,41.444883,60
1767409200,2026-01-03 00:00:00,31.860063999999994,36.24320141666666,38.989934,60
1767412800,2026-01-03 01:00:00,31.554822,36.4362141,40.631922,60
1767416400,2026-01-03 02:00:00,29.985061,34.84123211666668,38.882054,60
1767420000,2026-01-03 03:00:00,28.955743,33.49937021666668,36.106121,60
1767423600,2026-01-03 04:00:00,29.551255999999995,32.98140951666665,36.866496,60
1767427200,2026-01-03 05:00:00,28.087587,33.11081683333333,34.44049699999999,60
1767430800,2026-01-03 06:00:00,33.539418999999995,37.078750933333325,41.369901,60
1767434400,2026-01-03 07:00:00,31.794740000000004,35.699023383333326,38.70746,60
